Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215	69	-153	54	7215
70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245	70	-30	30	7245
71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299	71	-153	54	7299
72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388	72	-287	89	7388
73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409	73	-21	21	7409
74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474	74	-65	65	7474
75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515	75	-41	41	7515
76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541	76	-26	26	7541
77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567	77	-26	26	7567
78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612	78	-45	45	7612
79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645	79	-33	33	7645
80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679	80	-34	34	7679
81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716	81	-37	37	7716
82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758	82	-141	42	7758
83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801	83	-43	43	7801
84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837	84	-36	36	7837
85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885	85	-48	48	7885
86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911	86	-26	26	7911
87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941	87	-30	30	7941
88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975	88	-34	34	7975
89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996	89	-21	21	7996
90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032	90	-135	36	8032
91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082	91	-50	50	8082
92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124	92	-141	42	8124
93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147	93	-23	23	8147
94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192	94	-144	45	8192
95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254	95	-62	62	8254
96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274	96	-20	20	8274
97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324	97	-50	50	8324
98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347	98	-23	23	8347
99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392	99	-144	45	8392
100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440	100	-147	48	8440
101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461	101	-21	21	8461
102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536	102	-174	75	8536
103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560	103	-24	24	8560
104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593	104	-33	33	8593
105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632	105	-138	39	8632
106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664	106	-32	32	8664
107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707	107	-43	43	8707
108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741	108	-34	34	8741
109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804	109	-261	63	8804
110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831	110	-27	27	8831
111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890	111	-356	59	8890
112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925	112	-134	35	8925
113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969	113	-143	44	8969
114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005	114	-36	36	9005
115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046	115	-41	41	9046
116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073	116	-27	27	9073
117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107	117	-34	34	9107
118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123	118	-16	16	9123
119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154	119	-31	31	9154
120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198	120	-44	44	9198
121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235	121	-37	37	9235
122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259	122	-24	24	9259
123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273	123	-14	14	9273
124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316	124	-142	43	9316
125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338	125	-22	22	9338
126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358	126	-20	20	9358
127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392	127	-34	34	9392
128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409	128	-17	17	9409
129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463	129	-153	54	9463
130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508	130	-45	45	9508
131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544	131	-36	36	9544
132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567	132	-23	23	9567
133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592	133	-25	25	9592
134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613	134	-120	21	9613
135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637	135	-24	24	9637
136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670	136	-132	33	9670
137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685	137	-15	15	9685
138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714	138	-29	29	9714
139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747	139	-33	33	9747
