Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863	55	-17	17	863
56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878	56	-15	15	878
57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895	57	-17	17	895
58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921	58	-224	26	921
59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940	59	-19	19	940
60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953	60	-13	13	953
61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968	61	-15	15	968
62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983	62	-15	15	983
63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998	63	-15	15	998
64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011	64	-13	13	1011
65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024	65	-13	13	1024
66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037	66	-13	13	1037
67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056	67	-19	19	1056
68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075	68	-19	19	1075
69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092	69	-17	17	1092
70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105	70	-13	13	1105
71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130	71	-124	25	1130
72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143	72	-13	13	1143
73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159	73	-16	16	1159
74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177	74	-117	18	1177
75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192	75	-15	15	1192
76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205	76	-13	13	1205
77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223	77	-117	18	1223
78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251	78	-226	28	1251
79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264	79	-13	13	1264
80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277	80	-13	13	1277
81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292	81	-15	15	1292
82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308	82	-16	16	1308
83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321	83	-13	13	1321
84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338	84	-17	17	1338
85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353	85	-15	15	1353
86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366	86	-13	13	1366
87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381	87	-15	15	1381
88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396	88	-15	15	1396
89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409	89	-13	13	1409
90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427	90	-117	18	1427
91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442	91	-15	15	1442
92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469	92	-126	27	1469
93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496	93	-126	27	1496
94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516	94	-119	20	1516
95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529	95	-13	13	1529
96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552	96	-122	23	1552
97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565	97	-13	13	1565
98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581	98	-16	16	1581
99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597	99	-115	16	1597
100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610	100	-13	13	1610
101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630	101	-119	20	1630
102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647	102	-116	17	1647
103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660	103	-13	13	1660
104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674	104	-14	14	1674
105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692	105	-18	18	1692
106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705	106	-13	13	1705
