Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229	185	-225	27	3229
186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243	186	-14	14	3243
187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264	187	-120	21	3264
188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281
189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294	189	-13	13	3294
190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307	190	-13	13	3307
191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320	191	-13	13	3320
192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336	192	-16	16	3336
193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355	193	-19	19	3355
194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368	194	-13	13	3368
195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385	195	-17	17	3385
196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411	196	-125	26	3411
197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424	197	-13	13	3424
198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441	198	-17	17	3441
199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454	199	-13	13	3454
