Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083	51	-141	42	6083
52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212	52	-426	129	6212
53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303	53	-190	91	6303
54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360	54	-57	57	6360
55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416	55	-56	56	6416
56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450	56	-34	34	6450
57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511	57	-61	61	6511
58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549	58	-137	38	6549
59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592	59	-43	43	6592
60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621	60	-29	29	6621
61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672	61	-51	51	6672
62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712	62	-139	40	6712
63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765	63	-53	53	6765
64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821	64	-56	56	6821
65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851	65	-30	30	6851
66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914	66	-162	63	6914
67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940	67	-26	26	6940
68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963	68	-23	23	6963
69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010	69	-47	47	7010
70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089	70	-277	79	7089
71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116	71	-27	27	7116
72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156	72	-139	40	7156
73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209	73	-53	53	7209
74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257	74	-48	48	7257
75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304	75	-47	47	7304
76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382	76	-276	78	7382
77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400	77	-18	18	7400
78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465	78	-65	65	7465
79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490	79	-25	25	7490
80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519	80	-29	29	7519
81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572	81	-53	53	7572
82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602	82	-30	30	7602
83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649	83	-47	47	7649
84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684	84	-35	35	7684
85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726	85	-42	42	7726
86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755	86	-29	29	7755
87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791	87	-135	36	7791
88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857	88	-165	66	7857
89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883	89	-26	26	7883
90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936	90	-53	53	7936
91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973	91	-37	37	7973
92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004	92	-31	31	8004
93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040	93	-36	36	8040
94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085	94	-45	45	8085
95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118	95	-132	33	8118
96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164	96	-46	46	8164
97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185	97	-21	21	8185
98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218	98	-33	33	8218
99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259	99	-41	41	8259
100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294	100	-35	35	8294
101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333	101	-39	39	8333
102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365	102	-32	32	8365
103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408	103	-43	43	8408
104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477	104	-267	69	8477
