Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746	59	-161	62	6746
60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807	60	-160	61	6807
61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834	61	-27	27	6834
62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887	62	-53	53	6887
63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924	63	-37	37	6924
64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968	64	-44	44	6968
65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994	65	-26	26	6994
66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044	66	-50	50	7044
67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077	67	-33	33	7077
68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121	68	-143	44	7121
69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168	69	-47	47	7168
70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204	70	-36	36	7204
71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260	71	-56	56	7260
72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289	72	-29	29	7289
73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348	73	-59	59	7348
74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422	74	-173	74	7422
75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477	75	-55	55	7477
76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525	76	-48	48	7525
77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559	77	-133	34	7559
78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605	78	-46	46	7605
79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636	79	-31	31	7636
80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672	80	-36	36	7672
81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737	81	-164	65	7737
82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772	82	-35	35	7772
83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802	83	-30	30	7802
84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852	84	-50	50	7852
85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884	85	-32	32	7884
86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905	86	-21	21	7905
87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941	87	-36	36	7941
88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972	88	-31	31	7972
89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999	89	-27	27	7999
90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043	90	-44	44	8043
91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080	91	-37	37	8080
92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120	92	-139	40	8120
93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190	93	-268	70	8190
94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213	94	-23	23	8213
95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252	95	-39	39	8252
96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292	96	-40	40	8292
97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327	97	-134	35	8327
98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359	98	-32	32	8359
99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396	99	-37	37	8396
100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427	100	-31	31	8427
101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508	101	-279	81	8508
102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548	102	-40	40	8548
103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576	103	-28	28	8576
104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598	104	-22	22	8598
105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640	105	-141	42	8640
106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679	106	-39	39	8679
107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749	107	-268	70	8749
108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785	108	-234	36	8785
109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813	109	-28	28	8813
110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843	110	-30	30	8843
111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908	111	-164	65	8908
112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969	112	-160	61	8969
113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021	113	-151	52	9021
114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036	114	-15	15	9036
115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073	115	-136	37	9073
116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095	116	-22	22	9095
117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164	117	-168	69	9164
118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186	118	-22	22	9186
119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219	119	-33	33	9219
