Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203	72	-17	17	1203
73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218	73	-15	15	1218
74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231	74	-13	13	1231
75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250	75	-118	19	1250
76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263	76	-13	13	1263
77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276	77	-13	13	1276
78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289	78	-13	13	1289
79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302	79	-13	13	1302
80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338	80	-135	36	1338
81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353	81	-15	15	1353
82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368	82	-15	15	1368
83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388	83	-119	20	1388
84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401	84	-13	13	1401
85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417	85	-16	16	1417
86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430	86	-13	13	1430
87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445	87	-15	15	1445
88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458	88	-13	13	1458
89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471	89	-13	13	1471
90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484	90	-13	13	1484
91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497	91	-13	13	1497
92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512	92	-15	15	1512
93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527	93	-15	15	1527
94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540	94	-13	13	1540
95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562	95	-121	22	1562
96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575	96	-13	13	1575
97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588	97	-13	13	1588
98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628	98	-238	40	1628
99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641	99	-13	13	1641
100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656	100	-15	15	1656
101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673	101	-17	17	1673
102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686	102	-13	13	1686
103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699	103	-13	13	1699
104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712	104	-13	13	1712
105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734	105	-220	22	1734
106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749	106	-15	15	1749
107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762	107	-13	13	1762
108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785	108	-221	23	1785
109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798	109	-13	13	1798
110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815	110	-17	17	1815
111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834	111	-118	19	1834
112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850	112	-115	16	1850
113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863	113	-13	13	1863
114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881	114	-117	18	1881
115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894	115	-13	13	1894
116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907	116	-13	13	1907
117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925	117	-117	18	1925
118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942	118	-17	17	1942
119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957	119	-15	15	1957
120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972	120	-15	15	1972
121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985	121	-13	13	1985
122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000	122	-15	15	2000
123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015	123	-15	15	2015
124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030	124	-15	15	2030
125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045	125	-15	15	2045
126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058	126	-13	13	2058
127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073	127	-15	15	2073
128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100	128	-126	27	2100
129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123	129	-122	23	2123
130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138	130	-15	15	2138
131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153	131	-15	15	2153
132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178	132	-124	25	2178
133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193	133	-15	15	2193
134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211	134	-117	18	2211
135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227	135	-16	16	2227
136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245	136	-117	18	2245
137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260	137	-15	15	2260
138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275	138	-15	15	2275
139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290	139	-15	15	2290
